Common	Scientific	Rating	Tag
Musk lime	Citrofortunella mitis	1	
Musk lime	Citrus madurensis	1	syn
Citrus	Citrus	1	
Key lime	Citrus aurantifolia	1	
Key lime	Citrus aurantiifolia	1	mis
Bitter Orange	Citrus aurantium	1	
Pomelo	Citrus grande	1	
Pomelo	Citrus grandis	1	syn
Kumquat	Citrus japonica	1	
Lime	Citrus limetta	1	
Lemon	Citrus limon	1	
Pomelo	Citrus maxima	1	
Meyer lemon	Citrus meyeri	1	
Grapefruit	Citrus paradisi	1	
Mandarin	Citrus reticulata	1	
Orange	Citrus sinensis	1	
Tangerine	Citrus tangerina	1	
Satsuma mandarin	Citrus unshiu	1	
Wampee	Clausena lansium	1	
Coconut	Cocos nucifera	1	
Cabbage tree	Cordyline australis	1	
Creeping dogwood	Cornus canadensis	1	
Himalayan flowering dogwood	Cornus capitata	1	
Kousa dogwood	Cornus kousa	1	
Cornelian cherry dogwood	Cornus mas	1	
Japanese cornelian cherry dogwood	Cornus officinalis	1	
Japanese cornelian cherry	Cornus officinalis	1	
Common Hazel	Corylus avellana	1	
Turkish hazel	Corylus colurna	1	
Beaked hazel	Corylus cornuta	1	
Filbert	Corylus maxima	1	
Hawthorn	Crataegus	1	
Eastern May Hawthorn	Crataegus aestivalis	1	
Russian hawthorn	Crataegus ambigua	1	
Arnold hawthorn	Crataegus arnoldiana	1	
Azarole	Crataegus azarolus	1	
Black hawthorn	Crataegus douglasii	1	
Scarlet hawthorn	Crataegus ellwangeriana	1	
Midland hawthorn	Crataegus laevigata	1	
Tejocote	Crataegus mexicana	1	
Missouri hawthorn	Crataegus missouriensis 	1	
Downy hawthorn	Crataegus mollis	1	
Common hawthorn	Crataegus monogyna	1	
Western May Hawthorn	Crataegus opaca	1	
Hawthorn	Crataegus oxyacantha	1	
Pennsylvania hawthorn	Crataegus pensylvanica 	1	
Chinese hawthorn	Crataegus pinnatifida	1	
Tansy-leaved Thorn	Crataegus tanacetifolia	1	
Che	Cudrania tricuspidata	1	syn
Turmeric	Curcuma longa	1	
Quince	Cydonia oblonga	1	
Tamarillo	Cyphomandra betacea	1	syn
Davidsons plum	Davidsonia pruriens	1	
Longan	Dimocarpus longan	1	
	Diospyros	1	
Mabolo	Diospyros blancoi	1	
Black Sapote	Diospyros digyna	1	
Japanese Persimmon	Diospyros kaki	1	
Date-plum	Diospyros lotus	1	
Indian Persimmon	Diospyros peregrina	1	
American Persimmon	Diospyros virginiana	1	
Native tamarind	Diploglottis cunninghamii	1	
	Dovyalis	1	
Kei apple	Dovyalis caffra	1	
Ketembilla	Dovyalis hebecarpa	1	
Durian	Durio	1	
Silverberry	Elaeagnus	1	
Russian-olive	Elaeagnus angustifolia	1	
Autumn-olive	Elaeagnus umbellata	1	
African oil palm	Elaeis guineensis	1	
American oil palm	Elaeis oleifera	1	
Silverberry	Eleagnus	1	mis
Loquat	Eriobotrya japonica	1	
Cider Gum	Eucalyptus gunnii	1	
Manna Gum	Eucalyptus viminalis	1	
Magenta lilly pilly	Eugenia paniculata	1	
Cedar bay cherry	Eugenia reinwardtiana	1	
Pitanga	Eugenia uniflora	1	
Bolwarra	Eupomatia laurina	1	
Acai palm	Euterpe oleracea	1	
European Beech	Fagus sylvatica	1	
Feijoa	Feijoa sellowiana	1	
Common fig	Ficus carica	1	
Round kumquat	Fortunella crassifolia	1	syn
Kumquat	Fortunella japonica	1	syn
Kumquat	Fortunella margarita	1	syn
Strawberry	Fragaria	1	
Manna ash	Fraxinus ornus	1	
Imbe	Garcinia livingstonei	1	
	Gaultheria	1	
Wintergreen	Gaultheria procumbens	1	
Salal	Gaultheria shallon 	1	
Huckleberry	Gaylussacia	1	
Black huckleberry	Gaylussacia baccata	1	
Dangleberry	Gaylussacia frondosa	1	
