locale,variant,ISO639.1,ISO639.2T,ISO639.2B,ISO639.3,ISO639.6,wikipedia,other,autonym,en,fr,de,ru,es,it,zh,ISO639.3_macro,scope,type,family,retired,wikipedia_url,notes
,,ha,hau,hau,hau,,ha,,"حَوْسَ, هَوُسَ, هَوُسَ",hausa,haoussa,hausa,хауса,hausa,,"豪萨语, 豪撒语",,individual,living,afro-asiatic,FALSE,,
,,he,heb,heb,heb,,he,,"עִבְרִית, עברית","hebrew, hebrew (modern)",hébreu,"hebräisch, iwrit",иврит,hebreo,,希伯来语,,individual,living,afro-asiatic,FALSE,,
,,hi,hin,hin,hin,hins,hi,,"हिन्दी, हिंदी",hindi,hindi,hindi,хинди,hindi,,印地语,,individual,living,indo-european,FALSE,,
,,ho,hmo,hmo,hmo,,ho,,hiri motu,hiri motu,hiri motu,hiri motu,хиримоту,,,"希里莫图语, 希里木托语",,individual,living,austronesian,FALSE,,
,,hr,hrv,hrv,hrv,,hr,,"hrvatski, hrvatski jezik",croatian,croate,kroatisch,хорватский,croata,,"克罗地亚语, 克罗埃西亚语",hbs,individual,living,indo-european,FALSE,,
,,ht,hat,hat,hat,,ht,,"kreyòl ayisyen, krèyol ayisyen","haitian, haitian creole","haïtien, créole haïtien",haitianisch,гаити,criollo haitiano,,海地克里奥尔语,,individual,living,creole,FALSE,,
,,hu,hun,hun,hun,,hu,,magyar,hungarian,hongrois,ungarisch,венгерский,húngaro,,匈牙利语,,individual,living,uralic,FALSE,,
,,hy,hye,arm,hye,,hy,,հայերեն,armenian,arménien,armenisch,армянский,armenio,,亚美尼亚语,,individual,living,indo-european,FALSE,,
,,hz,her,her,her,,hz,,"otjiherero, otsiherero",herero,herero,otjiherero,гереро,herero,,赫雷罗语,,individual,living,niger–congo,FALSE,,
,,ia,ina,ina,ina,,ia,,interlingua,"interlingua (international auxiliary language association), interlingua",interlingua,interlingua,интерлингва,interlingua,,"国际语, 国际语a",,individual,constructed,constructed,FALSE,,constructed by international auxiliary language association
,,id,ind,ind,ind,,id,,bahasa indonesia,indonesian,indonésien,indonesisch,индонезийский,indonesio,,印尼语,msa,individual,living,austronesian,FALSE,,covered by macrolanguage [ms/msa]
,,ie,ile,ile,ile,,ie,,"interlingue, originally called occidental, then interlingue after wwii","interlingue, occidental",interlingue,interlingue,интерлингве,interlingue,,"西方国际语, 国际语e",,individual,constructed,constructed,FALSE,,"constructed by edgar de wahl, first published in 1922"
,,ig,ibo,ibo,ibo,,ig,,"igbo, asụsụ igbo",igbo,igbo,igbo,игбо,igbo,,伊博语,,individual,living,niger–congo,FALSE,,
,,ii,iii,iii,iii,,ii,,"ꆇꉙ, ꆈꌠ꒿ nuosuhxop","sichuan yi, nuosu",yi de sichuan,,,,,四川彝语,,individual,living,sino-tibetan,FALSE,,standard form of yi languages
,,ik,ipk,ipk,ipk,,ik,,"iñupiaq, iñupiak","inupiaq, inupiak",inupiaq,inupiaq,инупиак,inupiaq,,依努庇克语,,macro,living,,FALSE,,
,,io,ido,ido,ido,idos,io,,ido,ido,ido,ido,идо,ido,,伊多语,,individual,constructed,constructed,FALSE,,"constructed by de beaufront, 1907, as variation of esperanto"
,,is,isl,ice,isl,,is,,íslenska,icelandic,islandais,isländisch,исландский,islandés,,冰岛语,,individual,living,indo-european,FALSE,,
,,it,ita,ita,ita,itas,it,,italiano,italian,italien,italienisch,итальянский,italiano,,"意大利语, 义大利语",,individual,living,indo-european,FALSE,,
,,iu,iku,iku,iku,,iu,,ᐃᓄᒃᑎᑐᑦ,inuktitut,inuktitut,inuktitut,инуктитут,inuktitut,,"伊努伊特语, 伊努特语, 因纽特语",,macro,living,inuktitut,FALSE,,
,,ja,jpn,jpn,jpn,,ja,,"日本語, 日本語 (にほんご)",japanese,japonais,japanisch,японский,japonés,,日语,,individual,living,japonic,FALSE,,
,,jv,jav,jav,jav,,jv,,basa jawa,javanese,javanais,javanisch,яванский,javanés,,爪哇语,,individual,living,austronesian,FALSE,,
,,ka,kat,geo,kat,,ka,,ქართული,georgian,géorgien,georgisch,грузинский,georgiano,,"格鲁吉亚语, 乔治亚语",,individual,living,south caucasian,FALSE,,
,,kg,kon,kon,kon,,kg,,kikongo,kongo,kongo,kikongo,конго,kongo,,刚果语,,macro,living,,FALSE,,
,,ki,kik,kik,kik,,ki,,gĩkũyũ,"kikuyu, gikuyu",kikuyu,kikuyu,кикуйю,quicuyú,,"基库尤语, 吉库尤语",,individual,living,niger–congo,FALSE,,
,,kj,kua,kua,kua,,kj,,kuanyama,"kuanyama, kwanyama",kuanyama,,кваньяма,,,"宽亚玛语, 贡耶玛语",,individual,living,niger–congo,FALSE,,
,,kk,kaz,kaz,kaz,,kk,,"қазақша, қазақ тілі",kazakh,kazakh,kasachisch,казахский,"kazajo, kazajio",,哈萨克语,,individual,living,turkic,FALSE,,
,,kl,kal,kal,kal,,kl,,"kalaallisut, kalaallit oqaasii","kalaallisut, greenlandic",groenlandais,kalaallisut,гренландский,groenlandés,,格陵兰语,,individual,living,eskimo–aleut,FALSE,,
,,km,khm,khm,khm,,km,,"ខ្មែរ, ខេមរភាសា, ភាសាខ្មែរ","central khmer, khmer",khmer,,кхмерский,jemer,,高棉语,,individual,living,austroasiatic,FALSE,,a.k.a. cambodian
,,kn,kan,kan,kan,,kn,,ಕನ್ನಡ,kannada,kannada,kannada,каннада,canarés,,"卡纳达语, 康纳达语",,individual,living,dravidian,FALSE,,
,,ko,kor,kor,kor,,ko,,"한국어, 조선어",korean,coréen,koreanisch,корейский,coreano,,"朝鲜语, 韩语",,individual,living,koreanic,FALSE,,
,,kr,kau,kau,kau,,kr,,kanuri,kanuri,kanouri,kanuri,канури,canurí,,卡努里语,,macro,living,,FALSE,,
,,ks,kas,kas,kas,,ks,,"كشميري, कश्मीरी, کٲشُر, कॉशुर",kashmiri,kashmiri,kashmiri,кашмири,cachemir,,克什米尔语,,individual,living,indo-european,FALSE,,
,,ku,kur,kur,kur,,ku,,"kurdî, kurdî, كوردی",kurdish,kurde,kurdisch,курдский,kurdo,,"库尔德语, 库德语",,macro,living,,FALSE,,
,,kv,kom,kom,kom,,kv,,коми,komi,kom,komi,коми,komi,,科米语,,macro,living,,FALSE,,
,,kw,cor,cor,cor,,kw,,"kernowek, kernewek, kernewek, karnuack",cornish,cornique,kornisch,корнский,córnico,,"康沃尔语, 康瓦尔语",,individual,living,indo-european,FALSE,,
,,ky,kir,kir,kir,,ky,,"кыргыз, кыргызча, قىرعىزچه, kyrgyzcha, кыргыз тили, قىرعىز تيلى, kyrgyz tili","kirghiz, kyrgyz, kyrghyz",kirghize,kirgisisch,киргизский,kirguís,,"吉尔吉斯语, 柯尔克孜语",,individual,living,turkic,FALSE,,
,,la,lat,lat,lat,lats,la,,"latine, lingua latina, latina, lingua latīna, latīna",latin,latin,"latein, lateinisch, lateinische",латинский,latín,,拉丁语,,individual,ancient,indo-european,FALSE,,ancient
,,lb,ltz,ltz,ltz,,lb,,lëtzebuergesch,"luxembourgish, letzeburgesch",luxembourgeois,luxemburgisch,люксембургский,luxemburgués,,卢森堡语,,individual,living,indo-european,FALSE,,
,,lg,lug,lug,lug,,lg,,luganda,"ganda, luganda",ganda,luganda,ганда,luganda,,"干达语, 卢干达语",,individual,living,niger–congo,FALSE,,
,,li,lim,lim,lim,,li,,"lèmburgs, limburgs","limburgan, limburgish, limburger, limburgan limburgish",limbourgeois,limburgisch,,,,林堡语,,individual,living,indo-european,FALSE,,
,,ln,lin,lin,lin,,ln,,"lingala, lingála",lingala,lingala,lingala,лингала,lingala,,"林加拉语, 林格拉语",,individual,living,niger–congo,FALSE,,
,,lo,lao,lao,lao,,lo,,"ພາສາລາວ, ລາວ",lao,lao,laotisch,лаосский,laosiano,,"老挝语, 寮国语",,individual,living,tai–kadai,FALSE,,
,,lt,lit,lit,lit,,lt,,"lietuvių, lietuvių kalba",lithuanian,lituanien,litauisch,литовский,lituano,,立陶宛语,,individual,living,indo-european,FALSE,,
,,lu,lub,lub,lub,,,,tshiluba,luba-katanga,luba-katanga,,луба-катанга,,,"卢巴-加丹加语, 卢巴卡丹加语",,individual,living,niger–congo,FALSE,,
,,lv,lav,lav,lav,,lv,,latviešu,latvian,letton,lettisch,латышский,letón,,拉脱维亚语,,macro,living,,FALSE,,
,,mg,mlg,mlg,mlg,,mg,,malagasy,malagasy,malgache,madegassisch,малагасийский,"malgache, malagache",,马达加斯加语、马拉加西语,,macro,living,,FALSE,,
,,mh,mah,mah,mah,,mh,,"kajin m̧ajeļ, ebon","marshallese, marshall",marshall,marshallisch,"маршальский, маршалльский",,,马绍尔语,,individual,living,austronesian,FALSE,,
,,mi,mri,mao,mri,,mi,,"te reo māori, māori","maori, māori",maori,maori,маори,maorí,,毛利语,,individual,living,austronesian,FALSE,,
,,mk,mkd,mac,mkd,,mk,,"македонски, македонски јазик",macedonian,macédonien,mazedonisch,македонский,macedonio,,马其顿语,,individual,living,indo-european,FALSE,,
,,ml,mal,mal,mal,,ml,,മലയാളം,malayalam,malayalam,malajalam,малаялам,malayalam,,马拉雅拉姆语,,individual,living,dravidian,FALSE,,
,,mn,mon,mon,mon,,mn,,монгол,mongolian,mongol,mongolisch,монгольский,mongol,,蒙古语,,macro,living,,FALSE,,
,,mr,mar,mar,mar,,mr,,मराठी,"marathi, marāṭhī",marathe,marathi,маратхи,maratí,,马拉地语,,individual,living,indo-european,FALSE,,
,,ms,msa,may,msa,,ms,,bahasa melayu,"malay (macrolanguage), malay, malay (generic)",malais,malaiisch,малайский,malayo,,马来语,,macro,living,,FALSE,,
,,mt,mlt,mlt,mlt,,mt,,"bil-malta, malti",maltese,maltais,maltesisch,мальтийский,maltés,,"马耳他语, 马尔他语",,individual,living,afro-asiatic,FALSE,,
,,my,mya,bur,mya,,my,,"မန္မာစာ, ဗမာစာ, မြန်မာဘာသာ",burmese,birman,burmesisch,бирманский,birmano,,缅甸语,,individual,living,sino-tibetan,FALSE,,
,,na,nau,nau,nau,,na,,"ekakairũ naoero, dorerin naoero","nauru, nauruan",nauruan,nauruisch,науру,nauruano,,"瑙鲁语, 诺鲁语",,individual,living,austronesian,FALSE,,
,,nb,nob,nob,nob,,no,,"bokmål, norsk bokmål, norsk (bokmål)","norwegian bokmål, norwegian (bokmål)",norvégien bokmål,norwegische bokmål,букмол,noruego bokmål,,"挪威布克莫尔语, 书面挪威语, 波克莫尔语",nor,individual,living,"norsk bokmål, indo-european",FALSE,,covered by macrolanguage [no/nor]
,,nd,nde,nde,nde,,,,isindebele,"north ndebele, northern ndebele",ndébélé du nord,,северный ндебеле,,,北恩德贝勒语,,individual,living,niger–congo,FALSE,,
,,ne,nep,nep,nep,,ne,,नेपाली,"nepali (macrolanguage), nepali",népalais,nepali,непали,nepalí,,尼泊尔语,,macro,living,indo-european,FALSE,,
,,ng,ndo,ndo,ndo,,ng,,"owambo, oshiwambo",ndonga,ndonga,,ндонга,,,"恩敦加语, 恩东加语",,individual,living,niger–congo,FALSE,,
,,nl,nld,dut,nld,,nl,,"nederlands, vlaams","dutch, flemish",néerlandais,niederländisch,нидерландский,neerlandés,,荷兰语,,individual,living,indo-european,FALSE,,
,,nn,nno,nno,nno,,nn,,"nynorsk, norsk nynorsk","norwegian nynorsk, norwegian (nynorsk)",norvégien nynorsk,nynorsk,нюнорск,noruego nynorsk,,新挪威语,nor,individual,living,indo-european,FALSE,,covered by macrolanguage [no/nor]
,,no,nor,nor,nor,,,,norsk,norwegian,norvégien,norwegisch,норвежский,noruego,,挪威语,,macro,living,,FALSE,,
,,nr,nbl,nbl,nbl,,,,"ndébélé, isindebele","south ndebele, southern ndebele",ndébélé du sud,,южный ндебеле,,,南恩德贝勒语,,individual,living,niger–congo,FALSE,,
,,nv,nav,nav,nav,,nv,,diné bizaad,"navajo, navaho",navaho,navajo,навахо,navajo,,"纳瓦霍语, 纳瓦荷语",,individual,living,dené–yeniseian,FALSE,,
